anio;mes;d_industria_manufacturera
2024;Enero;100.6946717383358
2024;Febrero;102.71714461491914
2024;Marzo;111.11739025167881
2024;Abril;109.9716075814319
2024;Mayo;114.95392888536348
2024;Junio;107.64366121246363
2024;Julio;126.31145101032276
2024;Agosto;128.81619338773348
2024;Septiembre;124.91612938383246
2024;Octubre;134.40679528109538
2024;Noviembre;130.88875354175508
2024;Diciembre;122.47555616107668
2025;Enero;106.94015262808334
